번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,소재지전화,도로명전체주소,도로명우편번호,사업장명,데이터갱신구분,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명
1,동물병원,02_03_01_P,3620000,3.62E+17,2012-05-11,,1,영업/정상,0,571-9114,광주광역시 북구 양일로305번길 8 (일곡동),61040,일곡동물병원,I,190562.9092,189333.0171,동물병원
2,동물병원,02_03_01_P,3620000,3.62E+17,2015-01-23,,1,영업/정상,0,,광주광역시 북구 태봉로 37-6 (임동),61244,우리동물병원(출장전문),U,191120.42,184715.8661,동물병원
3,동물병원,02_03_01_P,3620000,3.62E+17,2015-05-18,,1,영업/정상,0,062-574-7975,"광주광역시 북구 하서로 371, 1층 (양산동)",61074,참좋은 동물병원,U,188403.3482,189881.7854,동물병원
4,동물병원,02_03_01_P,3620000,3.62E+17,2015-06-30,,1,영업/정상,0,062) 419-7582,광주광역시 북구 중문로 74 (우산동),61172,빛고을 동물의료센터,U,192695.3842,186661.031,동물병원
5,동물병원,02_03_01_P,3620000,3.62E+17,2016-11-03,,1,영업/정상,0,062-571-0011,광주광역시 북구 하백로5번길 1 (매곡동),61066,24시 언제나 동물병원,U,189946.299,187637.9188,동물병원
6,동물병원,02_03_01_P,3620000,3.62E+17,1996-07-23,,1,영업/정상,0,526-3575,광주광역시 북구 서암대로 167 (신안동),,유동물병원,U,191045.1449,185577.1956,동물병원
7,동물병원,02_03_01_P,3620000,3.62E+17,2017-03-16,,1,영업/정상,0,062-576-7585,광주광역시 북구 설죽로471번길 101-102 (삼각동),61057,이든동물병원,U,190722.9652,189129.9409,동물병원
8,동물병원,02_03_01_P,3620000,3.62E+17,2017-12-06,,1,영업/정상,0,062-574-8276,"광주광역시 북구 하서로 652-15, 2층 (지야동)",61027,소담동물병원(출장전문),U,189732.3013,192409.9157,동물병원
9,동물병원,02_03_01_P,3620000,3.62E+17,2018-02-05,,1,영업/정상,0,062-571-2808,"광주광역시 북구 본촌마을길 27, 동물보호소 (본촌동)",61027,광주동물보호소 부속동물병원,U,189132.5237,191478.4166,동물병원
10,동물병원,02_03_01_P,3450000,3.45E+17,1984-03-16,,1,영업/정상,0,053-950-6898,"대구광역시 북구 대학로 80 (산격동, 경북대학교 수의과대학)",41566,경북대학교 수의과대학 부속동물병원,U,345299.7424,266806.4432,동물병원
11,동물병원,02_03_01_P,3450000,3.45E+17,1992-07-16,,1,영업/정상,0,053-384-9907,대구광역시 북구 검단북로 154 (검단동),,대구축협동물병원,U,346441.1275,269593.3256,동물병원
12,동물병원,02_03_01_P,3450000,3.45E+17,2001-02-13,,1,영업/정상,0,325-7579,대구광역시 북구 칠곡중앙대로 483 (관음동),,강동물병원,U,339729.1289,272059.6403,동물병원
13,동물병원,02_03_01_P,3450000,3.45E+17,2015-10-20,,1,영업/정상,0,053-312-7975,대구광역시 북구 칠곡중앙대로 189 (태전동),41471,다온동물병원,U,339665.6807,269186.6425,동물병원
14,동물병원,02_03_01_P,3450000,3.45E+17,2017-06-20,,1,영업/정상,0,053-352-1998,"대구광역시 북구 침산로21길 23 (칠성동2가, 침산1차푸르지오)",41593,신한동물병원,U,343318.9557,266167.7849,동물병원
15,동물병원,02_03_01_P,3450000,3.45E+17,1981-08-24,,1,영업/정상,0,322-0041,대구광역시 북구 칠곡중앙대로 531 (읍내동),41442,동명동물병원,U,339825.6956,272538.8772,동물병원
16,동물병원,02_03_01_P,3450000,3.45E+17,2003-05-16,,1,영업/정상,0,324-0116,대구광역시 북구 대천로 72-1 (동천동),,굿모닝동물병원,U,340446.1276,271863.4358,동물병원
17,동물병원,02_03_01_P,3450000,3.45E+17,2003-07-28,,1,영업/정상,0,954-3395,대구광역시 북구 산격로 109 (산격동),,가나동물병원,U,345123.9589,267760.0909,동물병원
18,동물병원,02_03_01_P,3450000,3.45E+17,2003-08-20,,1,영업/정상,0,053-322-9075,대구광역시 북구 칠곡중앙대로 471 (관음동),,늘푸른종합동물병원,U,339699.9293,271940.2976,동물병원
19,동물병원,02_03_01_P,3450000,3.45E+17,2004-10-11,,1,영업/정상,0,053-314-0075,"대구광역시 북구 동암로12길 8, 2층 (동천동, 칠곡홈플러스)",41422,도그플러스 동물병원(미유펫 대구점),U,340320.7227,272735.6757,동물병원
20,동물병원,02_03_01_P,3450000,3.45E+17,2005-06-07,,1,영업/정상,0,053-326-2557,"대구광역시 북구 학정로 149, 한우리메디타워 2층 204호 (태전동)",41467,순풍동물병원,U,339911.3593,270114.9105,동물병원
21,동물병원,02_03_01_P,3180000,3.18E+17,2021-06-30,,1,영업/정상,0,02-831-0075,"서울특별시 영등포구 가마산로 449-1, 영민빌딩 1층 (신길동)",7383,다움동물병원,I,191647.1628,444844.7641,동물병원
22,동물병원,02_03_01_P,5410000,5.41E+17,1975-03-20,,1,영업/정상,0,,경상남도 창녕군 남지읍 동포로 9,50358,남지가축병원,U,334530.7064,211069.2418,동물병원
23,동물병원,02_03_01_P,5410000,5.41E+17,2004-05-21,,1,영업/정상,0,055-533-8292,경상남도 창녕군 창녕읍 갈전길 153,,창녕축협동물병원,U,334432.4576,230335.725,동물병원
24,동물병원,02_03_01_P,5410000,5.41E+17,2007-04-27,,1,영업/정상,0,,경상남도 창녕군 영산면 원다리길 45-2,50345,미래동물병원,U,338740.1281,218198.7156,동물병원
